1,2,3,4,freq,prop
Bolsonaro,Alckmin,Ciro,Haddad,529,0.18
Haddad,Ciro,Alckmin,Bolsonaro,433,0.147
Bolsonaro,Ciro,Alckmin,Haddad,378,0.129
Ciro,Haddad,Alckmin,Bolsonaro,230,0.078
Haddad,Alckmin,Ciro,Bolsonaro,229,0.078
Ciro,Alckmin,Haddad,Bolsonaro,179,0.061
Alckmin,Ciro,Haddad,Bolsonaro,149,0.051
Alckmin,Haddad,Ciro,Bolsonaro,99,0.034
Alckmin,Bolsonaro,Ciro,Haddad,83,0.028
Bolsonaro,Alckmin,Haddad,Ciro,75,0.026
Alckmin,Ciro,Bolsonaro,Haddad,72,0.025
Bolsonaro,Ciro,Haddad,Alckmin,69,0.023
Bolsonaro,Haddad,Ciro,Alckmin,62,0.021
Ciro,Alckmin,Bolsonaro,Haddad,60,0.02
Bolsonaro,Haddad,Alckmin,Ciro,53,0.018
Haddad,Ciro,Bolsonaro,Alckmin,43,0.015
Ciro,Bolsonaro,Alckmin,Haddad,41,0.014
Haddad,Bolsonaro,Ciro,Alckmin,33,0.011
Haddad,Bolsonaro,Alckmin,Ciro,31,0.011
Alckmin,Bolsonaro,Haddad,Ciro,27,0.009
Ciro,Bolsonaro,Haddad,Alckmin,17,0.006
Ciro,Haddad,Bolsonaro,Alckmin,17,0.006
Haddad,Alckmin,Bolsonaro,Ciro,15,0.005
Alckmin,Haddad,Bolsonaro,Ciro,13,0.004
