First,Second,Third,Fourth
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
Haddad,Ciro,Alckmin,Bolsonaro
