1,2,3,4,freq
haddad,ciro,alckmin,bolsonaro,363.0
haddad,alckmin,ciro,bolsonaro,274.0
haddad,ciro,bolsonaro,alckmin,180.0
haddad,bolsonaro,ciro,alckmin,46.0
haddad,bolsonaro,alckmin,ciro,34.0
haddad,alckmin,bolsonaro,ciro,27.0
ciro,haddad,alckmin,bolsonaro,49.0
ciro,alckmin,haddad,bolsonaro,148.0
ciro,alckmin,bolsonaro,haddad,80.0
ciro,bolsonaro,alckmin,haddad,60.0
ciro,haddad,bolsonaro,alckmin,35.0
ciro,bolsonaro,haddad,alckmin,24.0
alckmin,ciro,haddad,bolsonaro,0.0
alckmin,haddad,ciro,bolsonaro,0.0
alckmin,ciro,bolsonaro,haddad,9.0
alckmin,bolsonaro,ciro,haddad,82.0
alckmin,bolsonaro,haddad,ciro,44.0
alckmin,haddad,bolsonaro,ciro,16.0
bolsonaro,alckmin,ciro,haddad,411.0
bolsonaro,ciro,alckmin,haddad,326.0
bolsonaro,alckmin,haddad,ciro,128.0
bolsonaro,ciro,haddad,alckmin,402.0
bolsonaro,haddad,ciro,alckmin,119.0
bolsonaro,haddad,alckmin,ciro,80.0
other,other,other,other,228.0
